taxid	species	genus	family	order	class	origin_probe_sequences	tiling_probe_sequences	kmer_filter_removed	eprobe_filter_removed	filtered_probe_retained
48897	Hylomys suillus	Hylomys	Erinaceidae	Eulipotyphla	Mammalia	3062	0	19	2380	663
36802	Crocidura russula	Crocidura	Soricidae	Eulipotyphla	Mammalia	3432	3432	0	0	3432
150090	Episoriculus fumidus	Episoriculus	Soricidae	Eulipotyphla	Mammalia	3489	0	187	2351	951
42254	Sorex araneus	Sorex	Soricidae	Eulipotyphla	Mammalia	3369	0	136	2092	1141
62288	Sorex roboratus	Sorex	Soricidae	Eulipotyphla	Mammalia	3422	0	131	2254	1037
62287	Sorex tundrensis	Sorex	Soricidae	Eulipotyphla	Mammalia	3480	0	138	2155	1187
62275	Sorex unguiculatus	Sorex	Soricidae	Eulipotyphla	Mammalia	3411	0	140	1991	1280
202257	Galemys pyrenaicus	Galemys	Talpidae	Eulipotyphla	Mammalia	3292	0	111	2245	936
62295	Mogera wogura	Mogera	Talpidae	Eulipotyphla	Mammalia	3354	0	176	2282	896
9375	Talpa europaea	Talpa	Talpidae	Eulipotyphla	Mammalia	3368	3368	0	0	3368
106106	Urotrichus talpoides	Urotrichus	Talpidae	Eulipotyphla	Mammalia	3372	0	211	2198	963
42325	Dendrohyrax dorsalis	Dendrohyrax	Procaviidae	Hyracoidea	Mammalia	3308	0	3123	101	84
9813	Procavia capensis	Procavia	Procaviidae	Hyracoidea	Mammalia	3340	3340	0	0	3340
48086	Lepus americanus	Lepus	Leporidae	Lagomorpha	Mammalia	3400	0	74	1980	1346
62618	Lepus arcticus	Lepus	Leporidae	Lagomorpha	Mammalia	3413	0	70	2089	1254
9983	Lepus europaeus	Lepus	Leporidae	Lagomorpha	Mammalia	3538	3538	0	0	3538
9986	Oryctolagus cuniculus	Oryctolagus	Leporidae	Lagomorpha	Mammalia	3439	0	124	1801	1514
134600	Ochotona collaris	Ochotona	Ochotonidae	Lagomorpha	Mammalia	3385	0	82	1360	1943
130825	Ochotona curzoniae	Ochotona	Ochotonidae	Lagomorpha	Mammalia	3417	0	65	1476	1876
9978	Ochotona princeps	Ochotona	Ochotonidae	Lagomorpha	Mammalia	3287	3287	0	0	3287
1970152	Macrauchenia sp. MW-2017	Macrauchenia	Macraucheniidae	Litopterna	Mammalia	3347	3347	0	0	3347
213657	Elephantulus sp. VB001	Elephantulus	Macroscelididae	Macroscelidea	Mammalia	3327	0	56	1858	1413
29082	Macroscelides proboscideus	Macroscelides	Macroscelididae	Macroscelidea	Mammalia	3319	3319	0	0	3319
9256	Ornithorhynchus anatinus	Ornithorhynchus	Ornithorhynchidae	Monotremata	Mammalia	3395	3395	0	0	3395
9261	Tachyglossus aculeatus	Tachyglossus	Tachyglossidae	Monotremata	Mammalia	3262	3262	0	0	3262
9793	Equus asinus	Equus	Equidae	Perissodactyla	Mammalia	3324	3324	0	0	3324
9796	Equus caballus	Equus	Equidae	Perissodactyla	Mammalia	3322	0	586	1311	1425
1225531	Equus ovodovi	Equus	Equidae	Perissodactyla	Mammalia	3273	0	268	1327	1678
9798	Equus przewalskii	Equus	Equidae	Perissodactyla	Mammalia	3310	0	656	1242	1412
216182	Hippidion saldiasi	Hippidion	Equidae	Perissodactyla	Mammalia	3319	0	191	1541	1587
9807	Ceratotherium simum	Ceratotherium	Rhinocerotidae	Perissodactyla	Mammalia	3358	0	341	1544	1473
222863	Coelodonta antiquitatis	Coelodonta	Rhinocerotidae	Perissodactyla	Mammalia	3278	0	235	1660	1383
